origin,airline,total_flights,avg_dep_delay,avg_arr_delay,cancelled_flights,cancellation_rate,airport_avg_dep_delay,dep_delay_diff_from_airport,airport_rank_by_avg_dep_delay
ABE,9E,74,20.8514,17.0685,0,0.0,22.2444,-1.393,1
ABE,G4,129,21.4264,14.7364,0,0.0,22.2444,-0.818,2
ABE,OH,83,22.0759,14.4103,4,0.048193,22.2444,-0.1684,3
ABE,OO,36,29.8966,16.3214,7,0.194444,22.2444,7.6522,4
ABI,MQ,137,9.8235,12.1926,2,0.014599,9.8235,0.0,1
ABQ,DL,100,0.2,-5.0404,0,0.0,10.6681,-10.4681,1
ABQ,OO,298,5.9428,0.1886,1,0.003356,10.6681,-4.7253,2
ABQ,UA,117,6.693,2.6195,4,0.034188,10.6681,-3.9751,3
ABQ,MQ,44,7.4048,4.6905,2,0.045455,10.6681,-3.2633,4
