airline,origin,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancelled_flights,cancellation_rate,active_months
9E,DTW,18427,-46.0,941.0,0.377,158,0.008574,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,BDL,611,-31.0,303.0,0.6107,15,0.02455,"1,2,3,4,5,6,7,8,9,10,12"
9E,FAY,467,-32.0,949.0,6.2077,0,0.0,"1,2,3,4,5,6,9,10,11,12"
9E,MLU,1181,-42.0,885.0,8.541,9,0.007621,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ROC,3813,-49.0,1184.0,1.059,115,0.03016,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,LEX,364,-38.0,181.0,-2.8599,0,0.0,"1,2,3,4,5,11,12"
9E,LIT,362,-39.0,457.0,8.3775,6,0.016575,"1,2,3,4,6,7,8,9,10,11,12"
9E,GFK,136,-45.0,478.0,4.6397,0,0.0,"1,2,3,9,12"
9E,AVL,897,-43.0,949.0,3.0945,14,0.015608,"1,2,3,4,5,6,7,8,9,10,11,12"
