airline,origin,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancelled_flights,cancellation_rate,active_months
9E,JAX,1818,-52.0,1147.0,-0.1984,50,0.027503,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,IND,4832,-48.0,1086.0,-1.0803,110,0.022765,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,PHL,300,-37.0,371.0,-2.3,0,0.0,"1,2,3,11,12"
9E,FAY,698,-32.0,949.0,8.3696,0,0.0,"1,2,3,4,5,6,9,10,11,12"
9E,OAJ,1096,-39.0,1157.0,0.5657,0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ICT,336,-34.0,204.0,1.9345,0,0.0,"1,2,3,11,12"
9E,OMA,994,-39.0,779.0,5.0166,30,0.030181,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,CVG,13240,-56.0,1035.0,2.0709,230,0.017372,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,XNA,3912,-44.0,894.0,0.2988,24,0.006135,"1,2,3,4,5,6,7,8,9,10,11,12"
