ABE,1,high,30,241.3,234.0333,1:Delay_late_aircraft=14; 2:Delay_carrier=12; 3:Delay_nas=2
ABE,1,low,277,-5.509,-14.5564,1:Delay_nas=20; 2:Delay_carrier=1
ABE,1,medium,31,34.3226,32.5,1:Delay_late_aircraft=12; 2:Delay_carrier=8; 3:Delay_nas=3
ABE,2,high,13,237.3077,227.7692,1:Delay_carrier=6; 2:Delay_late_aircraft=5; 3:Delay_nas=1
ABE,2,low,255,-6.7725,-19.6417,1:Delay_nas=10; 2:Delay_carrier=1; 3:Delay_weather=1
ABE,2,medium,18,28.5,10.3333,1:Delay_carrier=5; 2:Delay_late_aircraft=3
ABI,1,high,14,112.5,123.8462,1:Delay_late_aircraft=9; 2:Delay_weather=3; 3:Cancellation_B=1
ABI,1,low,125,-6.344,-4.056,1:Delay_nas=10
ABI,1,medium,11,38.9091,36.7273,1:Delay_late_aircraft=7; 2:Delay_weather=2; 3:Delay_carrier=1
ABI,2,high,1,99.0,88.0,1:Delay_weather=1
