origin,airline,total_flights,avg_dep_delay,avg_arr_delay,cancelled_flights,cancellation_rate,airport_avg_dep_delay,dep_delay_diff_from_airport,airport_rank_by_avg_dep_delay
OAK,HA,1389,-1.2172,-2.5381,32,0.023038,8.4653,-9.6826,1
OAK,OO,2208,2.8673,-0.5834,8,0.003623,8.4653,-5.5981,2
OAK,G4,173,3.2398,3.9357,2,0.011561,8.4653,-5.2256,3
OAK,AS,1035,4.1277,-2.3174,33,0.031884,8.4653,-4.3376,4
OAK,DL,785,4.3015,-5.3806,9,0.011465,8.4653,-4.1638,5
OAK,NK,3874,8.8868,4.4221,67,0.017295,8.4653,0.4215,6
OAK,WN,49622,9.1205,2.1232,277,0.005582,8.4653,0.6551,7
BOS,9E,16,-3.7143,-17.8571,2,0.125,11.7483,-15.4626,1
BOS,G4,685,3.1592,-5.6473,13,0.018978,11.7483,-8.5891,2
