ABE,1,high,60,241.3,234.0333,1:Delay_late_aircraft=28; 2:Delay_carrier=24; 3:Delay_nas=4
ABE,1,low,554,-5.509,-14.5564,1:Delay_nas=40; 2:Delay_carrier=2
ABE,1,medium,62,34.3226,32.5,1:Delay_late_aircraft=24; 2:Delay_carrier=16; 3:Delay_nas=6
ABE,2,high,28,227.9286,217.9286,1:Delay_carrier=12; 2:Delay_late_aircraft=12; 3:Delay_nas=2
ABE,2,low,594,-6.6498,-19.5709,1:Delay_nas=20; 2:Delay_carrier=2; 3:Delay_weather=2
ABE,2,medium,40,29.7,10.1053,1:Delay_carrier=10; 2:Delay_late_aircraft=6
ABE,3,high,46,173.4348,163.3913,1:Delay_carrier=18; 2:Delay_late_aircraft=16; 3:Delay_nas=12
ABE,3,low,678,-6.1858,-18.3687,1:Delay_nas=14
ABE,3,medium,56,30.6786,19.8929,1:Delay_late_aircraft=14; 2:Delay_carrier=8; 3:Delay_nas=8
ABE,4,high,58,258.6552,250.3793,1:Delay_carrier=32; 2:Delay_late_aircraft=14; 3:Delay_nas=8
